78	0.0	0.0	0.20512820512820512	4	0	0	2	6	2	1	4	3	0	1	1	1	6	10	0	0	3	4	5	2	1	0	0	3	0	1	18	0.5	0.782051282051282	28.5	9.0	16	14	1	2	4	2	3	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	1	1	1.0	78.0	18.0	0	0	0	0	0.030612244897959183	2	0	0	0	0	0	0	2	0	0	0	5	0	0	2	0	0	0	0	0
110	0.0	0.0	0.18181818181818182	7	3	1	3	12	0	2	5	4	0	1	9	2	4	8	1	0	5	7	6	1	1	0	0	3	0	0	21	0.47619047619047616	0.7727272727272727	19.8	4.2	19	18	0	0	4	3	3	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	4	1	4.0	110.0	21.0	0	0	0	0	0.0	6	0	0	0	0	0	0	1	0	0	0	4	1	1	0	2	0	0	0	1
73	0.0	0.0	0.2328767123287671	7	0	2	2	6	0	0	2	4	0	1	2	1	2	4	0	0	4	1	4	2	1	5	0	3	0	0	19	0.42105263157894735	0.7397260273972602	17.25	4.75	14	11	2	3	1	1	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	3	1	3.0	73.0	19.0	0	0	0	0	0.0625	3	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0
112	0.017857142857142856	0.0	0.20535714285714285	8	1	1	1	4	2	0	10	6	0	1	4	2	5	5	0	2	1	2	3	6	0	3	0	3	3	3	30	0.43333333333333335	0.7232142857142857	24.75	7.5	24	23	0	5	5	2	3	4	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	3	1	3.0	112.0	30.0	0	0	0	0	0.0	10	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
95	0.010526315789473684	0.0	0.11578947368421053	5	4	3	0	1	2	2	4	10	2	1	7	3	4	2	2	0	3	3	8	3	1	1	1	4	1	4	13	0.15384615384615385	0.8315789473684211	42.0	6.5	12	11	0	0	0	1	4	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	1	1	1.0	95.0	13.0	0	0	1	0	0.0	4	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
121	0.0	0.0	0.19008264462809918	4	5	2	0	10	4	3	3	10	0	1	6	2	10	5	2	0	2	9	3	6	0	0	0	3	0	0	25	0.56	0.7603305785123967	23.0	5.0	17	13	3	0	6	3	1	2	1	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	8	10	0	4	1	4.0	121.0	25.0	0	0	0	0	0.03515625	2	3	0	2	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	1
64	0.0	0.0	0.203125	5	2	1	0	9	0	0	4	2	0	0	3	0	1	5	2	0	2	1	5	2	1	2	0	2	0	0	14	0.5714285714285714	0.78125	20.333333333333332	4.666666666666667	12	10	1	0	3	3	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	7	0	2	1	2.0	64.0	14.0	0	0	0	0	0.024793388429752067	1	1	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
90	0.0	0.0	0.2	4	2	0	0	7	0	1	4	5	0	3	4	4	4	9	1	0	0	5	10	2	0	2	0	1	0	0	20	0.45	0.7666666666666667	13.25	5.0	19	18	0	2	2	4	4	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	3	1	3.0	90.0	20.0	0	0	0	0	0.0	4	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
107	0.009345794392523364	0.0	0.205607476635514	6	2	2	1	4	0	2	4	7	1	1	5	3	5	7	1	0	4	4	4	7	0	0	0	4	0	4	22	0.5454545454545454	0.719626168224299	9.5	5.5	19	17	1	2	5	1	6	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	3	1	3.0	107.0	22.0	0	0	0	0	0.009259259259259259	5	1	0	1	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1
66	0.15151515151515152	0.0	0.16666666666666666	3	0	1	1	6	0	0	3	3	0	1	3	2	3	2	2	0	4	3	3	0	0	0	0	1	0	3	11	0.2727272727272727	0.7727272727272727	22.0	5.5	11	10	0	0	1	0	3	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	1	1.0	66.0	11.0	0	0	0	0	0.0	4	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
56	0.0	0.0	0.16071428571428573	1	2	0	4	2	0	0	5	1	0	1	3	0	1	3	2	0	1	2	5	2	0	2	0	2	2	3	11	0.36363636363636365	0.75	23.5	5.5	10	9	0	0	2	1	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	6	0	1	1	1.0	56.0	11.0	0	0	1	0	0.0	2	2	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0
68	0.0	0.0	0.20588235294117646	2	1	2	2	6	1	1	4	4	1	2	4	2	0	3	0	0	1	5	2	6	1	0	0	1	0	0	15	0.3333333333333333	0.75	12.666666666666666	5.0	14	12	1	3	1	0	7	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	2	1	2.0	68.0	15.0	0	0	0	0	0.01775147928994083	6	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
135	0.0	0.0	0.21481481481481482	9	3	2	3	8	1	3	10	3	0	2	5	2	5	9	1	0	4	7	12	5	1	3	0	3	1	1	29	0.5172413793103449	0.7555555555555555	44.0	9.666666666666666	24	20	3	2	3	6	9	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	11	0	2	1	2.0	135.0	29.0	0	0	0	0	0.017013232514177693	6	0	0	1	1	0	1	1	0	0	0	6	0	0	1	1	0	0	0	1
40	0.0	0.0	0.35	3	0	1	1	1	0	1	1	2	0	0	1	0	2	2	0	0	1	2	1	1	0	1	0	2	0	1	15	0.8666666666666667	0.625	11.0	7.5	13	11	1	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	1	1	1.0	40.0	15.0	0	0	0	0	0.024793388429752067	3	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
128	0.0078125	0.0	0.1328125	7	1	5	2	6	1	4	4	5	0	2	7	4	8	11	6	0	3	9	9	4	0	1	0	3	0	4	20	0.25	0.8203125	40.0	10.0	16	15	0	0	1	1	2	1	0	5	2	1	0	0	1	0	0	1	0	0	0	0	0	0	8	2	0	1	1	1.0	128.0	20.0	0	0	1	0	0.0	6	2	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0
73	0.0	0.0	0.2054794520547945	2	2	2	3	10	1	2	3	2	0	1	2	0	2	5	0	0	5	3	2	4	0	2	1	0	0	0	18	0.5	0.7671232876712328	13.6	3.6	14	13	0	3	2	1	4	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	8	0	4	1	4.0	73.0	18.0	0	0	0	0	0.020833333333333332	3	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0
